"","acctnum","gender","R","F","M","firstpur","age_class","single","student","mailing","respmail"
"205",11874,"F",4,"11",42,48,"31-35","yes","yes",1,0
"207",11889,"F",6,"6",60.1666666666667,36,"26-30","no","yes",1,1
"212",11943,"F",16,"1",64,16,"18-25","no","yes",1,0
"213",11962,"M",10,"3",20.3333333333333,20,"36-40","no","no",1,0
"215",11984,"F",8,"1",239,8,"18-25","no","yes",1,0
"216",11993,"M",4,"9",31.4444444444444,42,"31-35","yes","yes",1,0
"217",12004,"M",20,"4",55,38,"18-25","yes","no",1,0
"218",12007,"F",10,"7",39,42,"26-30","yes","yes",1,1
"221",12060,"M",14,"2",151.5,18,"26-30","no","yes",1,0
"226",12099,"F",16,"1",210,16,"26-30","no","no",1,0
"229",12133,"F",16,"1",50,16,"18-25","no","no",1,0
"231",12198,"F",26,"2",48,28,"18-25","no","no",1,0
"233",12255,"F",6,"12",15.5833333333333,58,"31-35","no","yes",1,1
"236",12289,"F",4,"2",51.5,12,"26-30","no","no",1,0
"237",12313,"F",12,"2",26.5,14,"18-25","no","yes",1,0
"238",12320,"F",30,"4",72.25,44,"26-30","no","yes",1,0
"239",12344,"M",14,"1",227,14,"18-25","no","yes",1,0
"240",12363,"F",16,"3",44.6666666666667,32,"18-25","yes","yes",1,0
"242",12387,"M",22,"1",73,22,"18-25","no","no",1,0
"247",12448,"F",30,"2",157.5,32,"18-25","no","no",1,0
"248",12450,"F",16,"5",64,42,"18-25","yes","yes",1,1
"253",12570,"F",10,"1",36,10,"18-25","no","no",1,0
"254",12587,"F",26,"6",36,50,"26-30","yes","yes",1,0
"259",12623,"F",28,"1",159,28,"18-25","no","no",1,0
"261",12702,"M",12,"3",32.6666666666667,22,"18-25","yes","no",1,0
"263",12733,"F",4,"11",26.2727272727273,30,"36-40","no","yes",1,0
"264",12735,"F",26,"9",44.4444444444444,50,"36-40","no","yes",1,1
"266",12744,"M",4,"3",33,16,"18-25","no","no",1,0
"267",12749,"F",4,"10",32.5,56,"31-35","no","yes",1,0
"269",12790,"F",10,"2",160,18,"18-25","yes","no",1,0
"270",12791,"M",4,"12",22,30,"41-45","yes","yes",1,0
"273",12805,"F",16,"2",89,22,"18-25","yes","yes",1,0
"274",12821,"M",12,"2",164,16,"26-30","yes","no",1,0
"278",12860,"F",14,"5",71.8,34,"26-30","yes","yes",1,0
"279",12865,"F",10,"1",254,10,"18-25","no","no",1,0
"280",12876,"F",32,"10",17.3,74,"31-35","yes","yes",1,0
"282",12895,"F",12,"10",17.4,42,"41-45","no","yes",1,0
"283",12910,"M",16,"10",38.5,44,"26-30","yes","yes",1,1
"285",12939,"F",6,"9",35.3333333333333,40,"18-25","yes","yes",1,1
"286",12948,"F",16,"2",52.5,22,"26-30","no","no",1,0
"290",12966,"F",12,"8",32.375,44,"31-35","no","yes",1,0
"292",13003,"F",16,"4",59.5,32,"18-25","no","yes",1,1
"293",13014,"M",16,"6",61.5,40,"26-30","no","yes",1,1
"295",13021,"M",8,"11",35.7272727272727,62,"46-50","yes","no",1,0
"296",13022,"F",12,"2",45.5,16,"18-25","no","yes",1,0
"297",13037,"F",6,"1",190,6,"18-25","no","yes",1,0
"300",13060,"F",34,"1",307,34,"18-25","no","yes",1,0
"301",13064,"F",14,"10",34.9,62,"26-30","no","yes",1,1
"302",13073,"F",14,"2",138.5,20,"26-30","no","yes",1,1
"304",13076,"F",12,"2",92,18,"18-25","no","yes",1,0
"306",13098,"F",14,"2",66,22,"18-25","no","yes",1,0
"307",13104,"M",12,"8",19.125,44,"31-35","yes","yes",1,1
"308",13105,"F",2,"2",65,8,"18-25","no","no",1,0
"311",13132,"M",16,"2",100,18,"31-35","no","no",1,0
"316",13166,"M",16,"1",292,16,"18-25","yes","no",1,0
"317",13174,"F",22,"11",27.1818181818182,78,"36-40","yes","yes",1,1
"318",13203,"F",16,"1",18,16,"18-25","no","no",1,0
"322",13235,"F",14,"2",128.5,18,"18-25","no","no",1,0
"326",13256,"F",16,"11",21.8181818181818,76,"46-50","yes","yes",1,0
"327",13260,"F",14,"1",60,14,"18-25","no","no",1,0
"334",13295,"F",12,"2",76,20,"26-30","no","no",1,0
"335",13300,"M",14,"1",55,14,"18-25","no","yes",1,0
"337",13329,"F",8,"1",54,8,"18-25","no","no",1,0
"338",13341,"M",12,"1",107,12,"26-30","no","no",1,0
"340",13380,"F",14,"2",42,22,"26-30","no","no",1,0
"343",13385,"F",6,"1",195,6,"26-30","no","no",1,0
"344",13389,"M",16,"2",56,18,"26-30","no","no",1,0
"345",13400,"M",32,"2",98,36,"31-35","no","no",1,0
"346",13419,"M",8,"4",80.75,20,"26-30","no","yes",1,1
"352",13507,"F",10,"2",60.5,18,"18-25","no","yes",1,0
"354",13519,"F",12,"3",67.3333333333333,18,"31-35","no","no",1,0
"355",13526,"F",16,"2",150,18,"26-30","no","no",1,0
"361",13570,"F",6,"1",244,6,"18-25","no","no",1,0
"362",13581,"F",14,"2",54,16,"18-25","yes","no",1,0
"365",13598,"F",12,"2",62.5,20,"18-25","no","yes",1,0
"366",13613,"F",12,"2",36,20,"18-25","no","yes",1,0
"369",13637,"F",10,"10",37.1,52,"41-45","yes","yes",1,0
"370",13649,"M",12,"2",116,20,"18-25","no","no",1,0
"371",13659,"F",10,"6",52.6666666666667,42,"18-25","no","yes",1,1
"373",13693,"F",10,"2",20,16,"18-25","no","yes",1,0
"375",13710,"M",6,"2",81.5,14,"31-35","no","no",1,0
"376",13729,"F",12,"7",33.2857142857143,28,"31-35","yes","yes",1,0
"380",13795,"F",16,"2",164,20,"26-30","no","no",1,0
"381",13797,"M",8,"2",152.5,16,"18-25","no","yes",1,0
"382",13802,"M",12,"4",29.25,22,"18-25","no","yes",1,1
"384",13819,"F",16,"3",98,22,"26-30","yes","no",1,0
"385",13827,"M",2,"2",79.5,10,"26-30","no","yes",1,0
"386",13830,"F",14,"3",83.6666666666667,30,"31-35","yes","no",1,0
"388",13856,"F",8,"11",35.8181818181818,72,"41-45","yes","yes",1,1
"391",13918,"M",26,"1",39,26,"18-25","yes","no",1,0
"392",13919,"M",12,"2",69.5,20,"26-30","no","no",1,0
"396",13960,"F",14,"2",152.5,18,"26-30","no","no",1,0
"397",13962,"F",10,"2",127,12,"18-25","no","yes",1,0
"400",13972,"F",12,"2",157,14,"18-25","yes","yes",1,0
"401",13989,"F",16,"2",101.5,24,"26-30","no","yes",1,1
"403",13998,"F",12,"2",16.5,14,"18-25","yes","no",1,0
"404",14008,"F",4,"1",176,4,"18-25","no","yes",1,0
"405",14012,"M",4,"3",91.6666666666667,18,"18-25","yes","no",1,0
"407",14019,"M",2,"5",32.2,18,"31-35","no","no",1,0
"409",14024,"M",6,"3",48.3333333333333,12,"31-35","no","no",1,0
"410",14030,"F",6,"10",17.1,62,"18-25","yes","yes",1,0
"415",14095,"F",4,"10",26.1,58,"26-30","yes","yes",1,0
"417",14109,"F",30,"2",97,38,"18-25","no","no",1,0
"420",14124,"M",14,"1",289,14,"18-25","no","no",1,0
"422",14147,"M",2,"6",37,24,"18-25","yes","no",1,0
"426",14203,"F",14,"1",157,14,"18-25","no","no",1,0
"427",14218,"F",6,"2",43.5,10,"18-25","no","yes",1,0
"428",14229,"F",12,"2",75.5,14,"18-25","no","no",1,0
"434",14288,"F",12,"9",35.2222222222222,38,"26-30","yes","yes",1,0
"436",14316,"F",18,"9",17,54,"26-30","yes","yes",1,1
"437",14318,"F",30,"1",160,30,"18-25","no","no",1,0
"439",14324,"F",12,"1",100,12,"18-25","no","yes",1,0
"440",14333,"M",14,"2",59.5,16,"26-30","no","no",1,0
"441",14335,"F",4,"7",54.4285714285714,36,"41-45","no","no",1,0
"444",14346,"M",6,"5",57.8,16,"46-50","no","no",1,0
"446",14373,"F",6,"1",307,6,"18-25","yes","no",1,0
"450",14414,"F",8,"2",128,12,"18-25","no","yes",1,0
"452",14467,"F",14,"7",39.5714285714286,54,"31-35","no","no",1,0
"453",14494,"M",10,"1",174,10,"18-25","no","no",1,0
"454",14537,"F",12,"3",88.6666666666667,30,"31-35","yes","no",1,0
"455",14540,"F",14,"2",137,18,"18-25","yes","no",1,0
"456",14547,"F",14,"2",70,20,"18-25","yes","yes",1,0
"460",14585,"F",4,"7",44.8571428571429,38,"26-30","yes","yes",1,0
"461",14590,"F",2,"1",239,2,"18-25","no","no",1,0
"465",14620,"F",16,"1",43,16,"18-25","no","no",1,0
"466",14657,"F",16,"7",57.1428571428571,50,"31-35","yes","yes",1,1
"467",14661,"M",10,"8",45,38,"26-30","yes","yes",1,0
"469",14673,"F",6,"12",26.4166666666667,74,"31-35","yes","yes",1,1
"474",14779,"F",14,"1",252,14,"18-25","no","no",1,0
"475",14792,"F",10,"2",106.5,16,"18-25","yes","no",1,0
"476",14793,"F",12,"2",50,14,"31-35","no","no",1,0
"483",14840,"F",14,"2",142.5,16,"18-25","no","no",1,0
"484",14854,"M",8,"11",18.9090909090909,50,"26-30","yes","yes",1,0
"486",14871,"M",10,"3",43.6666666666667,28,"26-30","yes","no",1,0
"491",14928,"F",12,"2",139,16,"31-35","no","no",1,0
"495",14953,"F",6,"5",32.4,22,"18-25","yes","yes",1,1
"496",14956,"F",8,"1",24,8,"18-25","yes","no",1,0
"497",14970,"F",10,"8",16,36,"36-40","no","yes",1,0
"498",14978,"M",6,"1",258,6,"18-25","no","yes",1,0
"499",14986,"F",14,"3",74,24,"18-25","yes","yes",1,1
"500",14992,"F",2,"6",62.8333333333333,32,"18-25","yes","yes",1,0
"501",14997,"F",8,"1",107,8,"26-30","no","no",1,0
"502",15000,"F",2,"6",40,28,"26-30","yes","yes",1,0
"503",15003,"M",8,"1",158,8,"26-30","no","no",1,0
"504",15033,"F",16,"1",114,16,"18-25","no","no",1,0
"505",15074,"M",12,"2",79.5,16,"18-25","no","no",1,0
"508",15099,"F",16,"2",53,24,"18-25","yes","no",1,0
"513",15132,"F",14,"2",27.5,20,"26-30","no","no",1,0
"517",15158,"F",16,"8",43.375,50,"36-40","yes","yes",1,0
"520",15215,"F",12,"2",66.5,16,"26-30","no","no",1,0
"521",15217,"M",2,"1",145,2,"18-25","no","yes",1,0
"526",15286,"F",30,"1",312,30,"18-25","no","no",1,0
"527",15288,"F",14,"6",63.1666666666667,44,"18-25","yes","no",1,0
"529",15294,"F",10,"1",221,10,"18-25","no","no",1,0
"530",15303,"F",18,"2",131.5,22,"26-30","no","yes",1,1
"531",15305,"F",10,"2",40,14,"26-30","no","no",1,0
"532",15314,"F",14,"1",211,14,"18-25","no","yes",1,0
"533",15320,"M",16,"2",51,20,"18-25","no","yes",1,0
"535",15328,"M",24,"1",81,24,"26-30","no","no",1,0
"536",15341,"M",2,"2",48,4,"18-25","no","yes",1,1
"538",15363,"F",10,"4",57,32,"18-25","no","yes",1,0
"539",15370,"F",14,"1",150,14,"18-25","no","no",1,0
"540",15375,"M",26,"5",71,42,"26-30","yes","no",1,0
"543",15397,"M",26,"1",33,26,"26-30","no","no",1,0
"545",15429,"M",12,"11",40.3636363636364,50,"31-35","yes","yes",1,1
"546",15436,"M",12,"3",89,28,"18-25","yes","no",1,0
"549",15452,"F",18,"1",203,18,"18-25","no","no",1,0
"553",15472,"F",16,"1",52,16,"18-25","no","no",1,0
"554",15499,"F",30,"1",214,30,"18-25","no","no",1,0
"555",15511,"F",12,"1",136,12,"18-25","no","no",1,0
"558",15524,"F",20,"2",159.5,26,"18-25","yes","no",1,0
"559",15535,"M",8,"1",120,8,"18-25","yes","no",1,0
"560",15541,"M",20,"1",285,20,"26-30","no","no",1,0
"565",15583,"M",14,"2",42.5,20,"18-25","no","no",1,0
"566",15584,"F",16,"1",206,16,"18-25","no","no",1,0
"567",15594,"M",12,"4",52.75,32,"18-25","no","yes",1,0
"570",15646,"F",16,"6",37.3333333333333,28,"18-25","yes","yes",1,1
"574",15666,"M",10,"3",88,26,"26-30","yes","no",1,0
"576",15681,"F",10,"2",110,14,"18-25","yes","no",1,0
"581",15700,"F",16,"4",19.5,36,"26-30","no","no",1,0
"582",15709,"F",34,"2",66,42,"31-35","no","no",1,0
"584",15715,"F",2,"3",113.666666666667,12,"26-30","no","no",1,0
"588",15751,"F",18,"8",33.5,34,"36-40","no","yes",1,0
"589",15754,"F",14,"1",246,14,"26-30","no","no",1,0
"590",15773,"F",16,"7",38.4285714285714,44,"26-30","no","yes",1,1
"596",15828,"F",14,"1",203,14,"18-25","yes","no",1,0
"597",15835,"F",24,"5",61.2,52,"26-30","no","yes",1,0
"598",15840,"M",6,"2",94.5,12,"18-25","yes","no",1,0
"601",15858,"F",2,"6",21.5,36,"26-30","no","yes",1,1
"602",15865,"F",16,"2",33,18,"26-30","no","no",1,0
"603",15876,"F",12,"2",54,14,"18-25","no","yes",1,0
"606",15944,"F",6,"5",58,22,"36-40","no","no",1,0
"608",15951,"M",6,"2",67.5,12,"18-25","no","no",1,0
"609",15958,"F",10,"8",31.75,50,"26-30","no","no",1,0
"612",15986,"F",16,"3",62.3333333333333,22,"18-25","no","yes",1,0
"618",16048,"F",10,"1",34,10,"18-25","yes","no",1,0
"619",16051,"M",12,"2",115,18,"18-25","yes","no",1,0
"620",16065,"F",14,"2",73,22,"31-35","no","no",1,0
"625",16111,"F",36,"1",304,36,"18-25","no","no",1,0
"626",16112,"M",4,"2",107.5,8,"18-25","no","no",1,0
"628",16115,"F",10,"11",39,32,"36-40","yes","yes",1,1
"631",16151,"F",24,"12",29.5833333333333,60,"26-30","yes","yes",1,0
"632",16180,"F",34,"2",140.5,36,"18-25","no","yes",1,0
"634",16193,"F",4,"1",209,4,"26-30","no","no",1,0
"636",16212,"F",26,"12",29.6666666666667,54,"26-30","no","yes",1,0
"637",16224,"M",2,"1",183,2,"18-25","no","yes",1,0
"638",16240,"M",8,"3",82,20,"18-25","no","yes",1,0
"645",16283,"F",26,"1",153,26,"26-30","no","no",1,0
"647",16290,"F",6,"4",89.25,28,"31-35","yes","no",1,0
"649",16313,"M",34,"1",91,34,"26-30","no","no",1,0
"650",16314,"F",2,"2",107,10,"18-25","yes","no",1,0
"654",16353,"F",2,"7",54.2857142857143,24,"26-30","yes","yes",1,0
"657",16404,"F",8,"2",95.5,14,"26-30","yes","no",1,0
"660",16460,"F",12,"12",37.25,80,"36-40","yes","yes",1,1
"664",16501,"F",10,"1",229,10,"18-25","no","yes",1,0
"668",16520,"F",16,"8",45.5,48,"31-35","no","yes",1,0
"669",16527,"F",24,"2",86,26,"18-25","no","yes",1,0
"671",16531,"M",4,"2",88,12,"18-25","no","yes",1,0
"672",16546,"F",20,"2",26.5,24,"18-25","no","no",1,0
"674",16551,"F",12,"9",44,44,"26-30","yes","yes",1,0
"675",16557,"M",6,"11",33.7272727272727,40,"41-45","yes","yes",1,1
"678",16584,"F",16,"1",304,16,"18-25","no","no",1,0
"681",16607,"M",16,"2",119.5,22,"26-30","no","no",1,0
"682",16617,"M",10,"3",29.3333333333333,26,"26-30","no","yes",1,0
"684",16627,"F",26,"2",159.5,34,"18-25","no","no",1,0
"686",16649,"F",6,"2",36.5,8,"18-25","no","no",1,0
"687",16651,"F",4,"3",111,20,"18-25","no","no",1,0
"688",16657,"M",30,"6",39,58,"31-35","no","yes",1,0
"689",16675,"F",14,"2",36,18,"18-25","no","no",1,0
"691",16680,"M",14,"10",21,60,"41-45","yes","yes",1,1
"692",16682,"F",2,"8",27.625,26,"36-40","yes","no",1,0
"693",16703,"F",10,"5",74.8,30,"31-35","no","yes",1,1
"694",16705,"F",32,"2",29,40,"18-25","yes","yes",1,0
"699",16745,"F",32,"1",75,32,"26-30","no","no",1,0
"701",16752,"F",12,"2",126,18,"26-30","no","no",1,0
"702",16762,"F",4,"2",93.5,12,"18-25","no","yes",1,0
"703",16767,"F",10,"3",60.3333333333333,24,"26-30","yes","yes",1,1
"705",16794,"F",12,"1",192,12,"18-25","no","yes",1,0
"706",16811,"F",34,"3",58.3333333333333,52,"18-25","yes","no",1,0
"707",16816,"F",22,"1",140,22,"18-25","no","yes",1,0
"709",16836,"M",2,"2",126,4,"18-25","no","yes",1,0
"711",16871,"F",14,"12",29.5833333333333,68,"26-30","yes","yes",1,0
"712",16876,"M",8,"1",106,8,"26-30","no","no",1,0
"713",16877,"F",10,"5",52.8,26,"26-30","yes","no",1,0
"717",16903,"F",4,"12",16.0833333333333,52,"36-40","yes","yes",1,0
"721",16934,"F",10,"2",37,14,"26-30","no","no",1,0
"722",16940,"F",12,"2",32.5,14,"26-30","yes","no",1,0
"726",16975,"F",4,"1",197,4,"18-25","no","yes",1,0
"733",17069,"F",10,"1",173,10,"18-25","no","no",1,0
"734",17095,"F",14,"1",206,14,"18-25","no","no",1,0
"737",17118,"F",10,"6",35.8333333333333,26,"36-40","no","yes",1,0
"738",17132,"F",12,"12",24,76,"46-50","no","yes",1,0
"739",17150,"F",12,"1",301,12,"18-25","no","yes",1,0
"740",17153,"M",14,"10",43.6,58,"31-35","yes","yes",1,0
"741",17156,"F",10,"11",30.5454545454545,34,"31-35","yes","yes",1,0
"742",17174,"F",4,"2",72.5,12,"18-25","no","no",1,0
"743",17177,"F",12,"1",249,12,"18-25","no","yes",1,0
"747",17201,"F",36,"1",248,36,"18-25","yes","no",1,0
"751",17224,"F",16,"2",79,24,"26-30","no","no",1,0
"753",17245,"F",12,"8",30.375,28,"26-30","yes","yes",1,0
"754",17248,"M",10,"11",34.9090909090909,34,"26-30","yes","yes",1,0
"755",17249,"F",16,"1",235,16,"26-30","no","no",1,0
"756",17250,"F",8,"6",62.8333333333333,36,"36-40","yes","no",1,0
"757",17257,"F",34,"12",39.5833333333333,96,"41-45","no","yes",1,1
"758",17262,"F",14,"1",227,14,"18-25","no","yes",1,0
"760",17275,"M",8,"1",228,8,"18-25","no","yes",1,0
"761",17276,"F",26,"11",40.8181818181818,64,"36-40","yes","yes",1,1
"762",17277,"F",6,"2",37.5,8,"18-25","no","yes",1,0
"763",17280,"M",8,"1",65,8,"18-25","no","yes",1,0
"764",17292,"M",30,"2",157.5,34,"26-30","no","yes",1,0
"765",17297,"M",12,"7",34.2857142857143,26,"31-35","no","yes",1,1
"767",17340,"F",26,"2",24.5,28,"18-25","no","no",1,0
"769",17366,"F",8,"2",57,12,"18-25","no","yes",1,0
"770",17372,"F",4,"8",52.375,28,"26-30","no","yes",1,1
"771",17376,"M",10,"2",15.5,18,"18-25","yes","no",1,0
"772",17379,"F",30,"2",31,34,"18-25","no","yes",1,0
"774",17394,"F",16,"2",55,24,"26-30","no","no",1,0
"778",17423,"M",24,"2",41.5,28,"26-30","no","yes",1,0
"784",17454,"M",2,"4",24.5,14,"26-30","yes","yes",1,0
"785",17466,"F",16,"2",33.5,22,"18-25","no","yes",1,0
"788",17477,"F",34,"9",26.8888888888889,66,"31-35","yes","yes",1,1
"789",17489,"F",12,"1",42,12,"18-25","no","yes",1,0
"791",17494,"F",4,"4",85.5,12,"26-30","no","no",1,0
"792",17507,"M",24,"8",33.125,54,"36-40","no","yes",1,0
"793",17516,"F",14,"7",45.1428571428571,30,"18-25","yes","yes",1,1
"795",17552,"M",12,"11",34.9090909090909,34,"26-30","no","yes",1,1
"796",17553,"F",16,"1",135,16,"18-25","no","no",1,0
"797",17566,"F",2,"2",106.5,8,"26-30","no","no",1,0
"801",17596,"M",16,"11",22.9090909090909,48,"36-40","no","yes",1,1
"803",17602,"F",10,"4",57.75,26,"18-25","yes","yes",1,0
"804",17608,"F",8,"1",101,8,"26-30","no","no",1,0
"805",17614,"F",4,"1",151,4,"18-25","no","no",1,0
"806",17616,"F",2,"1",203,2,"18-25","no","no",1,0
"808",17639,"F",8,"2",50.5,14,"26-30","no","no",1,0
"809",17642,"F",6,"1",195,6,"26-30","no","no",1,0
"811",17662,"M",2,"2",152.5,10,"26-30","no","yes",1,0
"813",17715,"F",6,"9",25,58,"18-25","yes","yes",1,1
"814",17723,"F",10,"6",27.8333333333333,38,"36-40","yes","yes",1,0
"817",17776,"F",2,"12",33.3333333333333,62,"31-35","yes","yes",1,0
"818",17782,"F",16,"4",35.5,28,"18-25","yes","no",1,0
"820",17793,"M",14,"1",290,14,"18-25","no","no",1,0
"821",17814,"F",6,"1",181,6,"18-25","yes","no",1,0
"826",17845,"F",12,"11",24.0909090909091,68,"41-45","yes","no",1,0
"830",17912,"M",12,"1",117,12,"26-30","no","no",1,0
"833",17945,"M",4,"1",183,4,"18-25","yes","no",1,0
"834",17950,"F",16,"2",40.5,24,"18-25","no","no",1,0
"836",17967,"F",10,"9",27.5555555555556,60,"36-40","no","yes",1,1
"837",17977,"F",8,"11",40.3636363636364,58,"18-25","yes","yes",1,0
"838",17981,"F",14,"11",25.1818181818182,68,"26-30","yes","yes",1,0
"839",17990,"F",14,"2",86.5,22,"18-25","no","yes",1,0
"840",17997,"F",30,"2",96.5,38,"18-25","yes","no",1,0
"844",18032,"M",16,"1",269,16,"26-30","no","no",1,0
"847",18049,"F",14,"1",46,14,"18-25","no","yes",1,0
"848",18053,"M",20,"4",43.5,32,"18-25","yes","yes",1,1
"849",18054,"F",16,"1",95,16,"18-25","no","yes",1,0
"853",18100,"F",12,"1",314,12,"26-30","no","no",1,0
"859",18153,"F",22,"1",272,22,"18-25","yes","no",1,0
"860",18157,"M",16,"2",94.5,22,"18-25","no","yes",1,0
"861",18184,"M",12,"9",44.7777777777778,58,"31-35","yes","yes",1,1
"862",18185,"F",14,"8",44.25,42,"18-25","yes","yes",1,0
"868",18215,"M",16,"2",162,18,"18-25","no","yes",1,0
"870",18225,"M",10,"4",59.25,22,"26-30","no","no",1,0
"871",18227,"F",10,"2",31.5,18,"18-25","no","yes",1,0
"872",18233,"F",14,"12",21.3333333333333,40,"31-35","no","yes",1,0
"874",18247,"M",8,"1",195,8,"18-25","no","no",1,0
"876",18266,"M",8,"2",137,16,"26-30","no","yes",1,0
"878",18303,"F",14,"1",42,14,"18-25","no","yes",1,0
"879",18318,"F",2,"8",33.75,40,"26-30","no","yes",1,0
"880",18328,"F",16,"1",41,16,"18-25","yes","no",1,0
