acctnum,gender,R,F,M,firstpur,age_class,single,student,mailing,respmail
11302,0,2,5,32.2,14,4,0,0,1,0
11315,0,12,1,175,12,1,0,0,1,0
11322,1,2,3,101.333333333333,10,1,0,0,1,0
11326,1,12,1,232,12,0,0,1,1,0
11337,0,30,1,109,30,1,0,0,1,0
11339,0,16,8,47.375,48,4,0,1,1,0
11344,0,16,6,19.6666666666667,46,1,1,1,1,1
11347,1,12,1,254,12,1,0,0,1,0
11353,0,4,1,224,4,1,0,0,1,0
11366,0,10,1,143,10,0,0,1,1,0
11381,0,16,1,107,16,0,0,1,1,0
11386,0,14,2,75.5,20,1,0,1,1,1
11394,0,8,10,27.5,62,1,1,1,1,1
11399,1,12,12,36.4166666666667,42,3,1,1,1,0
11418,0,10,1,19,10,0,0,1,1,0
11425,0,6,1,84,6,0,0,0,1,0
11431,1,8,4,44,18,2,0,0,1,0
11437,0,34,1,309,34,1,0,0,1,0
11438,0,14,2,63,16,0,0,1,1,0
11441,0,16,2,140,24,0,1,1,1,0
11456,0,14,1,211,14,0,0,0,1,0
11460,0,14,2,64.5,20,1,0,0,1,0
11464,0,28,2,152.5,36,1,0,1,1,0
11468,0,20,5,67.4,38,0,0,1,1,0
11488,1,14,10,17.1,44,2,1,1,1,0
11491,0,6,12,30.0833333333333,62,2,1,1,1,0
11514,0,4,1,92,4,0,0,0,1,0
11533,0,10,4,56.5,22,2,1,0,1,0
11540,0,10,1,138,10,0,0,0,1,0
11544,0,10,1,17,10,0,0,0,1,0
11545,1,4,4,48.75,16,1,0,1,1,0
11548,0,14,6,51.1666666666667,30,1,0,0,1,0
11551,1,10,6,36.1666666666667,32,1,0,1,1,1
11559,1,14,1,184,14,0,0,0,1,0
11568,0,12,12,39.5,46,2,1,1,1,0
11583,1,16,8,27.625,38,0,1,1,1,1
11586,0,14,1,286,14,1,0,0,1,0
11589,1,30,2,123.5,36,0,0,0,1,0
11609,1,12,2,98,16,1,0,1,1,0
11636,0,8,10,23.2,62,1,1,1,1,1
11641,1,18,2,44,22,1,0,0,1,0
11655,0,4,1,213,4,0,0,1,1,0
11678,0,14,1,71,14,1,0,0,1,0
11681,1,16,1,217,16,0,0,0,1,0
11683,0,8,3,48,26,1,1,0,1,0
11696,1,12,3,103.333333333333,22,1,1,1,1,0
11698,0,18,1,139,18,0,0,1,1,0
11717,0,16,4,47,28,1,0,1,1,0
11724,0,12,1,228,12,0,0,0,1,0
11735,0,12,1,56,12,0,0,0,1,0
11738,1,14,4,45.75,22,1,0,1,1,0
11747,1,16,2,44.5,22,0,0,1,1,0
11761,0,18,2,144,26,1,0,0,1,0
11804,0,12,4,45.25,32,1,1,1,1,0
11815,0,12,2,36.5,18,0,1,0,1,0
11821,0,10,1,287,10,0,0,0,1,0
11838,0,12,12,37.3333333333333,48,4,1,1,1,1
11841,1,12,1,187,12,1,0,0,1,0
11848,0,2,1,294,2,1,0,0,1,0
11868,0,6,1,170,6,1,0,0,1,0
11872,1,34,9,20.7777777777778,52,2,1,1,1,0
11874,0,4,11,42,48,2,1,1,1,0
11884,0,30,8,38.375,76,2,1,0,1,0
11889,0,6,6,60.1666666666667,36,1,0,1,1,1
11906,0,32,11,25.2727272727273,84,1,1,1,1,1
11920,0,14,2,46,16,2,0,0,1,0
11940,0,22,1,42,22,0,0,1,1,0
11941,1,12,11,39.8181818181818,76,5,0,1,1,1
11943,0,16,1,64,16,0,0,1,1,0
11962,1,10,3,20.3333333333333,20,3,0,0,1,0
11975,0,14,7,42.8571428571429,46,2,1,1,1,1
11984,0,8,1,239,8,0,0,1,1,0
11993,1,4,9,31.4444444444444,42,2,1,1,1,0
12004,1,20,4,55,38,0,1,0,1,0
12007,0,10,7,39,42,1,1,1,1,1
12013,0,4,1,276,4,0,1,0,1,0
12054,1,8,6,49.3333333333333,32,0,1,1,1,0
12060,1,14,2,151.5,18,1,0,1,1,0
12073,0,26,2,89,28,0,0,0,1,0
12077,0,6,1,113,6,0,0,0,1,0
12094,1,10,8,35,34,1,1,1,1,0
12097,1,10,2,72.5,18,1,0,1,1,0
12099,0,16,1,210,16,1,0,0,1,0
12118,1,24,2,129,32,1,0,0,1,0
12127,0,4,10,21.7,54,3,0,1,1,1
12133,0,16,1,50,16,0,0,0,1,0
12183,0,32,1,125,32,0,0,0,1,0
12198,0,26,2,48,28,0,0,0,1,0
12240,0,22,3,100.333333333333,30,2,0,1,1,0
12255,0,6,12,15.5833333333333,58,2,0,1,1,1
12265,0,20,2,150,26,0,1,0,1,0
12281,0,4,2,38.5,10,1,0,0,1,0
12289,0,4,2,51.5,12,1,0,0,1,0
12313,0,12,2,26.5,14,0,0,1,1,0
12320,0,30,4,72.25,44,1,0,1,1,0
12344,1,14,1,227,14,0,0,1,1,0
12363,0,16,3,44.6666666666667,32,0,1,1,1,0
12379,1,14,10,35.1,46,1,1,1,1,1
12387,1,22,1,73,22,0,0,0,1,0
12399,1,16,6,20,48,0,1,1,1,0
12407,1,6,2,95.5,10,0,0,1,1,0
12434,0,8,1,209,8,0,0,0,1,0
12438,0,10,1,31,10,0,0,0,1,0
12448,0,30,2,157.5,32,0,0,0,1,0
12450,0,16,5,64,42,0,1,1,1,1
12497,0,12,1,81,12,0,0,0,1,0
12509,1,14,1,236,14,0,0,1,1,0
12511,0,10,1,43,10,1,0,0,1,0
12565,0,14,12,35.4166666666667,58,0,1,1,1,1
12570,0,10,1,36,10,0,0,0,1,0
12587,0,26,6,36,50,1,1,1,1,0
12592,1,6,2,162.5,10,0,1,0,1,0
12597,1,8,5,24,32,1,0,1,1,0
12601,1,10,3,109.333333333333,28,2,0,0,1,0
12609,0,6,2,124,8,0,0,0,1,0
12623,0,28,1,159,28,0,0,0,1,0
12625,0,12,1,36,12,0,0,0,1,0
12702,1,12,3,32.6666666666667,22,0,1,0,1,0
12715,0,26,3,31.3333333333333,40,1,0,0,1,0
12733,0,4,11,26.2727272727273,30,3,0,1,1,0
12735,0,26,9,44.4444444444444,50,3,0,1,1,1
12741,1,8,2,58.5,16,1,0,0,1,0
12744,1,4,3,33,16,0,0,0,1,0
12749,0,4,10,32.5,56,2,0,1,1,0
12771,1,4,6,59.3333333333333,22,2,1,0,1,0
12790,0,10,2,160,18,0,1,0,1,0
12791,1,4,12,22,30,4,1,1,1,0
12794,0,30,1,281,30,0,0,0,1,0
12800,0,10,6,19,38,2,1,1,1,1
12805,0,16,2,89,22,0,1,1,1,0
12821,1,12,2,164,16,1,1,0,1,0
12825,0,2,3,33.3333333333333,12,1,0,1,1,0
12827,1,2,4,43.5,20,0,0,1,1,1
12834,0,16,4,35,28,0,1,1,1,0
12860,0,14,5,71.8,34,1,1,1,1,0
12865,0,10,1,254,10,0,0,0,1,0
12876,0,32,10,17.3,74,2,1,1,1,0
12884,1,8,1,161,8,0,0,0,1,0
12895,0,12,10,17.4,42,4,0,1,1,0
12910,1,16,10,38.5,44,1,1,1,1,1
12936,0,12,2,25.5,18,0,0,1,1,0
12939,0,6,9,35.3333333333333,40,0,1,1,1,1
12948,0,16,2,52.5,22,1,0,0,1,0
12952,0,26,2,62.5,30,0,0,1,1,0
12957,0,24,12,23.1666666666667,78,1,1,1,1,0
12965,0,6,1,213,6,0,0,1,1,0
12966,0,12,8,32.375,44,2,0,1,1,0
12985,0,4,11,26.8181818181818,30,2,1,1,1,0
13003,0,16,4,59.5,32,0,0,1,1,1
13014,1,16,6,61.5,40,1,0,1,1,1
13016,0,32,1,269,32,0,1,0,1,0
13021,1,8,11,35.7272727272727,62,5,1,0,1,0
13022,0,12,2,45.5,16,0,0,1,1,0
13037,0,6,1,190,6,0,0,1,1,0
13040,0,22,2,107,26,0,1,1,1,0
13058,0,16,2,74.5,18,1,0,0,1,0
13060,0,34,1,307,34,0,0,1,1,0
13064,0,14,10,34.9,62,1,0,1,1,1
13073,0,14,2,138.5,20,1,0,1,1,1
13074,1,6,2,18,14,1,0,1,1,0
13076,0,12,2,92,18,0,0,1,1,0
13077,1,12,2,75,18,0,0,0,1,0
13098,0,14,2,66,22,0,0,1,1,0
13104,1,12,8,19.125,44,2,1,1,1,1
13105,0,2,2,65,8,0,0,0,1,0
13108,1,30,5,36.6,44,2,0,0,1,0
13120,0,16,1,187,16,0,0,1,1,0
13132,1,16,2,100,18,2,0,0,1,0
13142,1,2,2,70.5,4,0,0,1,1,1
13146,1,12,2,28,16,0,0,0,1,0
13154,1,2,4,87.5,18,1,0,1,1,0
13164,0,22,6,46.3333333333333,40,2,0,1,1,0
13166,1,16,1,292,16,0,1,0,1,0
13174,0,22,11,27.1818181818182,78,3,1,1,1,1
13203,0,16,1,18,16,0,0,0,1,0
13216,0,14,9,24,66,1,1,1,1,0
13230,0,28,7,42.1428571428571,46,0,1,1,1,0
13231,0,6,9,31.8888888888889,38,1,1,1,1,0
13235,0,14,2,128.5,18,0,0,0,1,0
13236,1,4,1,86,4,1,0,0,1,0
13246,0,10,1,123,10,0,0,1,1,0
13247,1,12,2,34.5,18,0,0,1,1,0
13256,0,16,11,21.8181818181818,76,5,1,1,1,0
13260,0,14,1,60,14,0,0,0,1,0
13266,1,6,1,33,6,0,0,1,1,0
13269,0,8,1,224,8,0,0,1,1,0
13277,1,4,1,305,4,0,0,1,1,0
13289,0,12,5,54.6,36,3,1,1,1,0
13292,0,8,12,25.75,58,4,1,1,1,0
13293,1,4,2,37,6,1,0,0,1,0
13295,0,12,2,76,20,1,0,0,1,0
13300,1,14,1,55,14,0,0,1,1,0
13324,1,10,1,249,10,0,0,0,1,0
13329,0,8,1,54,8,0,0,0,1,0
13341,1,12,1,107,12,1,0,0,1,0
13378,0,34,2,83,40,1,0,1,1,0
13380,0,14,2,42,22,1,0,0,1,0
13382,0,14,8,18.5,42,0,1,1,1,0
13383,0,8,3,84.3333333333333,18,1,0,0,1,0
13385,0,6,1,195,6,1,0,0,1,0
13389,1,16,2,56,18,1,0,0,1,0
13400,1,32,2,98,36,2,0,0,1,0
13419,1,8,4,80.75,20,1,0,1,1,1
13426,0,30,2,142.5,32,1,0,0,1,0
13433,0,12,6,61.8333333333333,36,0,1,1,1,1
13475,0,14,1,22,14,0,0,0,1,0
13482,0,10,1,87,10,1,0,0,1,0
13487,1,14,2,17.5,16,0,0,1,1,0
13507,0,10,2,60.5,18,0,0,1,1,0
13512,0,2,11,17.6363636363636,38,2,0,1,1,1
13519,0,12,3,67.3333333333333,18,2,0,0,1,0
13526,0,16,2,150,18,1,0,0,1,0
13531,0,14,8,45.5,52,3,0,1,1,0
13533,0,6,12,21.0833333333333,38,8,0,1,1,0
13546,0,8,4,50.5,30,4,0,0,1,0
13564,1,6,1,26,6,0,0,0,1,0
13566,0,16,2,64,20,1,0,0,1,0
13570,0,6,1,244,6,0,0,0,1,0
13581,0,14,2,54,16,0,1,0,1,0
13584,0,16,1,50,16,0,0,0,1,0
13589,0,10,2,63.5,18,0,0,1,1,0
13598,0,12,2,62.5,20,0,0,1,1,0
13613,0,12,2,36,20,0,0,1,1,0
13625,0,16,5,57.6,32,1,1,1,1,0
13631,0,12,12,29.6666666666667,80,3,1,1,1,1
13637,0,10,10,37.1,52,4,1,1,1,0
13649,1,12,2,116,20,0,0,0,1,0
13659,0,10,6,52.6666666666667,42,0,0,1,1,1
13692,1,10,7,23.1428571428571,44,1,0,1,1,0
13693,0,10,2,20,16,0,0,1,1,0
13706,0,22,2,130.5,30,0,0,1,1,0
13710,1,6,2,81.5,14,2,0,0,1,0
13729,0,12,7,33.2857142857143,28,2,1,1,1,0
13742,0,4,6,48.1666666666667,28,0,0,1,1,1
13748,0,12,1,272,12,1,0,0,1,0
13754,0,20,11,25.3636363636364,74,1,1,1,1,1
13795,0,16,2,164,20,1,0,0,1,0
13797,1,8,2,152.5,16,0,0,1,1,0
13802,1,12,4,29.25,22,0,0,1,1,1
13805,0,10,10,22.7,44,3,1,1,1,0
13819,0,16,3,98,22,1,1,0,1,0
13827,1,2,2,79.5,10,1,0,1,1,0
13830,0,14,3,83.6666666666667,30,2,1,0,1,0
13853,0,28,1,102,28,0,1,0,1,0
13856,0,8,11,35.8181818181818,72,4,1,1,1,1
13888,0,16,1,113,16,0,1,0,1,0
13910,0,24,2,125,28,2,0,0,1,0
13918,1,26,1,39,26,0,1,0,1,0
13919,1,12,2,69.5,20,1,0,0,1,0
13934,0,6,3,86,20,1,0,0,1,0
13938,0,10,9,34.4444444444444,38,2,1,1,1,0
13947,0,16,6,32.5,52,2,1,1,1,0
13960,0,14,2,152.5,18,1,0,0,1,0
13962,0,10,2,127,12,0,0,1,1,0
13967,1,12,9,42.7777777777778,46,2,1,1,1,1
13968,0,32,2,54.5,38,0,1,1,1,0
13972,0,12,2,157,14,0,1,1,1,0
13989,0,16,2,101.5,24,1,0,1,1,1
13995,0,32,5,42.8,48,2,0,1,1,0
13998,0,12,2,16.5,14,0,1,0,1,0
14008,0,4,1,176,4,0,0,1,1,0
14012,1,4,3,91.6666666666667,18,0,1,0,1,0
14018,1,8,1,110,8,1,0,0,1,0
14019,1,2,5,32.2,18,2,0,0,1,0
14021,1,16,1,93,16,0,1,0,1,0
14024,1,6,3,48.3333333333333,12,2,0,0,1,0
14030,0,6,10,17.1,62,0,1,1,1,0
14032,0,14,1,106,14,0,0,0,1,0
14054,0,12,9,40.2222222222222,46,1,1,1,1,1
14064,0,16,1,278,16,0,0,1,1,0
14086,0,14,8,16.5,58,1,0,1,1,0
14095,0,4,10,26.1,58,1,1,1,1,0
14105,0,2,5,29.8,26,0,1,1,1,1
14109,0,30,2,97,38,0,0,0,1,0
14116,0,22,4,83.5,36,2,0,1,1,0
14119,1,6,4,33.75,28,0,1,1,1,1
14124,1,14,1,289,14,0,0,0,1,0
14141,0,12,2,150.5,18,0,0,1,1,0
14147,1,2,6,37,24,0,1,0,1,0
14167,0,6,1,37,6,1,0,0,1,0
14175,0,16,2,16.5,18,0,0,0,1,0
14187,0,8,7,47,40,1,1,1,1,0
14203,0,14,1,157,14,0,0,0,1,0
14218,0,6,2,43.5,10,0,0,1,1,0
14229,0,12,2,75.5,14,0,0,0,1,0
14257,0,14,1,198,14,0,0,0,1,0
14262,0,6,11,23.7272727272727,38,2,0,1,1,1
14266,1,10,1,233,10,1,0,0,1,0
14268,1,4,10,38.4,44,6,1,1,1,0
14272,0,8,1,125,8,0,0,0,1,0
14288,0,12,9,35.2222222222222,38,1,1,1,1,0
14292,1,10,2,145,18,1,0,0,1,0
14316,0,18,9,17,54,1,1,1,1,1
14318,0,30,1,160,30,0,0,0,1,0
14322,0,10,5,22.8,20,0,0,1,1,0
14324,0,12,1,100,12,0,0,1,1,0
14333,1,14,2,59.5,16,1,0,0,1,0
14335,0,4,7,54.4285714285714,36,4,0,0,1,0
14340,0,16,1,148,16,1,0,0,1,0
14343,0,30,1,213,30,0,1,0,1,0
14346,1,6,5,57.8,16,5,0,0,1,0
14352,1,26,7,57.2857142857143,56,0,0,1,1,1
14373,0,6,1,307,6,0,1,0,1,0
14374,0,26,2,36.5,32,1,0,1,1,0
14376,1,10,2,145.5,16,2,0,0,1,0
14404,0,2,12,20.9166666666667,38,2,1,1,1,1
14414,0,8,2,128,12,0,0,1,1,0
14436,0,10,2,54.5,16,0,0,1,1,0
14467,0,14,7,39.5714285714286,54,2,0,0,1,0
14494,1,10,1,174,10,0,0,0,1,0
14537,0,12,3,88.6666666666667,30,2,1,0,1,0
14540,0,14,2,137,18,0,1,0,1,0
14547,0,14,2,70,20,0,1,1,1,0
14550,0,2,8,48.125,40,2,0,1,1,0
14559,0,22,2,43.5,24,0,0,1,1,0
14572,0,20,1,275,20,0,0,0,1,0
14585,0,4,7,44.8571428571429,38,1,1,1,1,0
14590,0,2,1,239,2,0,0,0,1,0
14591,0,4,2,153,6,1,0,0,1,0
14593,0,34,7,18.8571428571429,54,2,0,1,1,1
14615,0,6,1,218,6,0,0,1,1,0
14620,0,16,1,43,16,0,0,0,1,0
14657,0,16,7,57.1428571428571,50,2,1,1,1,1
14661,1,10,8,45,38,1,1,1,1,0
14663,0,8,1,186,8,0,0,0,1,0
14673,0,6,12,26.4166666666667,74,2,1,1,1,1
14718,0,8,4,15.25,28,0,0,1,1,0
14728,0,2,4,66.75,20,0,1,1,1,0
14747,0,36,11,20.1818181818182,68,0,1,1,1,1
14753,0,14,1,276,14,0,1,0,1,0
14779,0,14,1,252,14,0,0,0,1,0
14792,0,10,2,106.5,16,0,1,0,1,0
14793,0,12,2,50,14,2,0,0,1,0
14809,0,30,4,55.5,52,0,0,1,1,0
14818,0,22,2,110.5,24,1,0,0,1,0
14821,0,4,9,47,56,3,0,1,1,0
14826,1,10,6,45.8333333333333,42,1,1,1,1,0
14831,0,12,2,53,20,1,1,0,1,0
14833,1,16,2,78,20,1,0,0,1,0
14840,0,14,2,142.5,16,0,0,0,1,0
14854,1,8,11,18.9090909090909,50,1,1,1,1,0
14864,0,16,9,28.1111111111111,34,3,0,1,1,0
14871,1,10,3,43.6666666666667,28,1,1,0,1,0
14881,0,12,1,177,12,0,0,0,1,0
14896,0,16,2,120.5,24,0,1,0,1,0
14908,0,10,1,27,10,0,0,0,1,0
14925,1,34,5,61.8,50,1,0,1,1,1
14928,0,12,2,139,16,2,0,0,1,0
14938,1,28,5,42.2,48,1,1,0,1,0
14944,0,6,11,40.8181818181818,38,0,1,1,1,0
14951,0,10,8,24,28,1,0,0,1,0
14953,0,6,5,32.4,22,0,1,1,1,1
14956,0,8,1,24,8,0,1,0,1,0
14970,0,10,8,16,36,3,0,1,1,0
14978,1,6,1,258,6,0,0,1,1,0
14986,0,14,3,74,24,0,1,1,1,1
14992,0,2,6,62.8333333333333,32,0,1,1,1,0
14997,0,8,1,107,8,1,0,0,1,0
15000,0,2,6,40,28,1,1,1,1,0
15003,1,8,1,158,8,1,0,0,1,0
15033,0,16,1,114,16,0,0,0,1,0
15074,1,12,2,79.5,16,0,0,0,1,0
15092,0,12,1,114,12,0,0,0,1,0
15097,1,8,1,177,8,1,0,0,1,0
15099,0,16,2,53,24,0,1,0,1,0
15100,0,22,5,37.6,48,1,0,1,1,0
15102,1,24,2,42,28,0,1,0,1,0
15103,0,2,12,16.0833333333333,70,2,1,1,1,1
15107,0,2,2,28.5,4,1,0,0,1,0
15132,0,14,2,27.5,20,1,0,0,1,0
15134,0,6,2,91.5,12,0,1,0,1,0
15142,0,10,2,24,16,0,1,0,1,0
15144,1,16,8,23.875,50,2,1,1,1,0
15158,0,16,8,43.375,50,3,1,1,1,0
15161,0,8,2,62.5,12,1,0,0,1,0
15167,0,14,2,18.5,20,0,0,1,1,0
15215,0,12,2,66.5,16,1,0,0,1,0
15217,1,2,1,145,2,0,0,1,1,0
15228,0,14,10,40.6,72,1,1,1,1,0
15243,0,12,2,143.5,18,0,1,1,1,0
15253,0,14,2,32,20,0,0,0,1,0
15265,0,16,5,74,30,0,1,0,1,0
15286,0,30,1,312,30,0,0,0,1,0
15288,0,14,6,63.1666666666667,44,0,1,0,1,0
15290,0,12,1,297,12,0,0,0,1,0
15294,0,10,1,221,10,0,0,0,1,0
15303,0,18,2,131.5,22,1,0,1,1,1
15305,0,10,2,40,14,1,0,0,1,0
15314,0,14,1,211,14,0,0,1,1,0
15320,1,16,2,51,20,0,0,1,1,0
15325,1,10,1,36,10,0,1,0,1,0
15328,1,24,1,81,24,1,0,0,1,0
15341,1,2,2,48,4,0,0,1,1,1
15350,0,18,4,61.25,34,0,0,0,1,0
15363,0,10,4,57,32,0,0,1,1,0
15370,0,14,1,150,14,0,0,0,1,0
15375,1,26,5,71,42,1,1,0,1,0
15386,0,14,2,21.5,16,1,0,0,1,0
15389,0,10,1,216,10,0,0,0,1,0
15397,1,26,1,33,26,1,0,0,1,0
15425,0,12,2,106.5,16,1,0,0,1,0
15429,1,12,11,40.3636363636364,50,2,1,1,1,1
15436,1,12,3,89,28,0,1,0,1,0
15446,1,12,2,44,14,0,0,1,1,0
15448,1,10,11,36.1818181818182,50,4,1,1,1,0
15452,0,18,1,203,18,0,0,0,1,0
15458,0,2,2,130.5,6,0,0,1,1,0
15464,0,10,7,18.7142857142857,50,2,0,1,1,0
15465,0,34,10,20.2,78,1,1,1,1,0
15472,0,16,1,52,16,0,0,0,1,0
15499,0,30,1,214,30,0,0,0,1,0
15511,0,12,1,136,12,0,0,0,1,0
15512,0,14,3,114.333333333333,24,0,0,1,1,0
15515,0,16,12,17.0833333333333,44,2,1,1,1,0
15524,0,20,2,159.5,26,0,1,0,1,0
15535,1,8,1,120,8,0,1,0,1,0
15541,1,20,1,285,20,1,0,0,1,0
15551,0,12,1,302,12,0,1,0,1,0
15553,1,8,3,31.3333333333333,26,0,0,1,1,0
15561,1,14,1,72,14,0,0,0,1,0
15575,1,6,1,84,6,0,0,0,1,0
